type,title,companyTitle,minSalary,maxSalary,workExperience,education,totalTag,companyPeople,workTag,welfare,imgSrc,city
数据分析师,数据分析师[望京],朗驰科技,6000,8000,经验在校,应届,"IT技术服务｜咨询,网络通信 / 不需要融资 / 150-500人",150-500,PL/SQL/JavaScript/IT技术服务｜咨询/SQL Server/Python,免费住宿、五险一金、季度涨薪,https://www.lgstatic.com/thumbnail_120x120/10/07223a194730475b8cf049060b097310.png,北京
数据分析师,数据分析师[西二旗],贝壳,18000,30000,经验3-5年,本科,居住服务 / 上市公司 / 2000人以上,2000,居住服务/SQL,扁平化 发展空间大 六险二金,https://www.lgstatic.com/thumbnail_120x120/i/image6/M01/6E/FE/Cgp9HWIAlrqAVQ1tAAAWrDCJNg4614.png,北京
数据分析师,数据分析师[朝阳区],新宝集,15000,20000,经验3-5年,本科,"科技金融,金融业 / 未融资 / 少于15人",15,人工智能服务/内容资讯/自然语言处理/Windows,团队主要成员来自于高盛、JP摩根、微软和IBM等,https://www.lgstatic.com/thumbnail_120x120/images/logo_default.png,北京
数据分析师,数据分析师[上地],贝壳,15000,30000,经验3-5年,本科,居住服务 / 上市公司 / 2000人以上,2000,房地产｜建筑｜物业/工具类产品,数据分析,https://www.lgstatic.com/thumbnail_120x120/i/image6/M01/6E/FE/Cgp9HWIAlrqAVQ1tAAAWrDCJNg4614.png,北京
数据分析师,数据分析师[海淀区],冲云破雾,13000,20000,经验在校,应届,游戏 / 未融资 / 50-150人,50-150,工具类产品/游戏/图像｜视频处理/数据挖掘,发展前景,https://www.lgstatic.com/thumbnail_120x120/images/logo_default.png,北京
数据分析师,数据分析师[知春路],天眼查,20000,40000,经验3-5年,本科,数据服务｜咨询 / 不需要融资 / 500-2000人,500-2000,Excel/MySQL/工具类产品/数据服务｜咨询/sql,行业独角兽,https://www.lgstatic.com/thumbnail_120x120/i/image6/M00/63/21/Cgp9HWGd39yANcwZAAA5GiRJFxA257.png,北京
数据分析师,数据分析师[三里屯],盘古数魔,20000,40000,经验5-10年,本科,"人工智能服务,区块链,金融业 / 未融资 / 50-150人",50-150,科技金融/金融业,发展前景好 薪资高于平均水平 出海,https://www.lgstatic.com/thumbnail_120x120/images/logo_default.png,北京
数据分析师,数据分析师[北京大学],北京大数据研究院,15000,25000,经验1-3年,本科,"教育,其他 / 不需要融资 / 500-2000人",500-2000,回归算法/聚类算法/数据服务｜咨询/决策树类算法/数据挖掘,发展前景好,https://www.lgstatic.com/thumbnail_120x120/i/image/M00/37/26/Cgp3O1dfotKAKD5-AAA2zQbOFys187.png,北京
数据分析师,数据分析师[大山子],携程集团,15000,30000,经验5-10年,本科,旅游｜出行 / 上市公司 / 2000人以上,2000,科技金融/SQL,团队氛围佳；补充医疗,https://www.lgstatic.com/thumbnail_120x120/i/image/M00/48/C6/CgqCHl9NqqyAWHdOAAAVKhvD0iw341.png,北京
数据分析师,数据分析师[朝阳区],好医生,25000,35000,经验5-10年,本科,"医疗丨健康,教育 / 未融资 / 500-2000人",500-2000,教育｜培训/在线医疗/Python,职位发展前景好,https://www.lgstatic.com/thumbnail_120x120/i/image/M00/39/A1/CgqKkVdnjYWAGbm7AAAOEiVdkJI527.png,北京
数据分析师,数据分析师[白石桥],新意互动,16000,30000,经验1-3年,本科,营销服务｜咨询 / 上市公司 / 500-2000人,500-2000,营销服务｜咨询/数据服务｜咨询,产品PMF好,https://www.lgstatic.com/thumbnail_120x120/image1/M00/00/2F/Cgo8PFTUXH6AeZH_AAB0rWVdeZo125.jpg,北京
数据分析师,高级数据分析师-直播业务（营收方向）[海淀区],字节跳动,15000,30000,经验不限,本科,"内容资讯,短视频 / D轮及以上 / 2000人以上",2000,弹性工作/就近租房补贴/节日礼品/年度体检,"下午茶,健身瑜伽,六险一金,团队氛围好",https://www.lgstatic.com/thumbnail_120x120/10/a245ba93a25f4defbe9cd27fd9cb69a0.png,北京
数据分析师,数据分析师-游戏方向[海淀区],字节跳动,20000,40000,经验不限,本科,"内容资讯,短视频 / D轮及以上 / 2000人以上",2000,弹性工作/就近租房补贴/节日礼品/年度体检,"下午茶,健身瑜伽,六险一金,股票期权",https://www.lgstatic.com/thumbnail_120x120/10/a245ba93a25f4defbe9cd27fd9cb69a0.png,北京
数据分析师,数据分析师[朝阳区],博乐科技,12000,22000,经验不限,本科,游戏 / 不需要融资 / 500-2000人,500-2000,游戏,13薪，项目奖金，福利好. 带薪年假. 午餐补助,https://www.lgstatic.com/thumbnail_120x120/i/image/M00/2A/4E/CgqKkVcxrdWAXXCsAABISSAPic8095.JPG,北京
数据分析师,数据分析师[西单],CEPO,15000,25000,经验3-5年,本科,信息安全 / A轮 / 50-150人,50-150,信息安全/网络通信,进驻大型央企工作，***项目！,https://www.lgstatic.com/thumbnail_120x120/i/image3/M01/5B/18/CgpOIF4DJd2AUGRzAACLZN70d2M777.jpg,北京
数据分析师,数据分析师[朝阳区],广推科技（北京）有限公司,15000,30000,经验1-3年,本科,营销服务｜咨询 / 不需要融资 / 15-50人,15-50,MySQL/数据服务｜咨询,内部成长、国内团建游,https://www.lgstatic.com/thumbnail_120x120/i/image6/M00/79/45/CioPOWIwQMCATjwjAAAUxJkIZfU300.png,北京
数据分析师,数据分析师[朝阳区],上海唯都,7000,9000,经验3-5年,本科,营销服务｜咨询 / 未融资 / 500-2000人,500-2000,营销服务｜咨询,汽车行业 精准营销咨询 CRM专业团队,https://www.lgstatic.com/thumbnail_120x120/i/image/M00/7D/C2/CgpFT1pTNFeAUTG0AAAHd1As8JI760.png,北京
数据分析师,数据分析师[北七家],天盛数通,11000,19000,经验1-3年,本科,数据服务｜咨询 / 未融资 / 15-50人,15-50,软件服务｜咨询/Power BI/数据分析/挖掘/TO B/计算机相关专业,项目中去利用中国哲学理念解决管理咨询问题,https://www.lgstatic.com/thumbnail_120x120/10/cd820ebaf00247d7b4e2153aae1b611b.png,北京
